Data da coleta;Esfera; Município/UF;UF;pasta;contratante;Objeto;Descrição do objeto;Número do processo;Contrato;Número da Dispensa / Pregão;Favorecido;CNPJ ;Valor Total Contratado;Qual a quantidade discriminada?;Valor unitário (item) Contratado;Unidade de Medida;fonte da pesquisa;portal de transparência específico do Covid19;Descrição Resumida;ITEM_PADRONIZADO;MEDIDA_PADRONIZADA;PRECO_UNITARIO_PADRONIZADO;QUANTIDADE_PADRONIZADA
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens;MÁSCARAS / Máscara, respirador semi facial, COR: Branca, CARACTERÍSTICAS ADICIONAIS: Contra particulado, com filtro mecânico do tipo PFF2, eficiência mínima de filtragem de 94%. Filtragem bacteriana 99%, formato concha, UNID. DE MEDIDA: Unitário, PEÇA;165121589;;5411/2020;AABA COMERCIO DE EQUIPAMENTOS MEDICOS EIRELI;8,03926E+13;R$ 594,00;60;9,90; unidade;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;mascara;1 unidade;9,90;60,00
23/04/2020;Estadual;---/PR;PR;Outras;APPA - Administração dos Portos de Paranaguá e Antonina;Contratação de Serviços;O  presente  Termo foi elaborado  em  observância  ao  estabelecido na  comunicação  interna 026/2020 e tem a finalidade de instituir procedimento de compra direta emergencial para a  aquisição  de kits  de  alimentos  para  atender  as  necessidades  dos  caminhoneiros  que realizam operações na Portos do Paraná, de acordo com as especificações e detalhamentos descritos neste Termo de Referência. / Cesta básica (kit alimentação), COMPOSIÇÃO: 1 pacote arroz de 1kg, 1 pacote de feijão de 1kg, 1 caixa com 12 ovos, 1 frasco de 900ml de óleo de soja, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, EMBALAGEM: Plástica transparente lacrada, UNID. DE MEDIDA: Unitário;164978133;;5482/2020;SUPERMERCADO BAVARESCO LTDA;1,47286E+12;R$ 1.094.500,00;55.000;19,90;Unidade;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;diversos;1 unidade;19,90;55000,00
23/04/2020;Estadual;---/PR;PR;Educação;SEED - Secretaria de Estado da Educação e do Esporte;Aquisição de Bens;Aquisição de materiais para fabricação de máscaras de proteção 3D, que serão destinadas às instituições de ensino e utilizadas como medida preventiva à contaminação do Coronavírus - COVID-19. / Chapa, MATERIAL: PETG (Polietileno Tereftalato de Etileno Glicol), DIMENSÃO: 1000x2000x0,5mm, COR: Transparente, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;165022076;;5491/2020;HANNOVER PLÁSTICOS S/A;4,62615E+12;R$ 6.900,00;80;86,25;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;diversos;1 unidade;86,25;80,00
23/04/2020;Estadual;---/PR;PR;Educação;SEED - Secretaria de Estado da Educação e do Esporte;Aquisição de Bens;Aquisição de materiais para fabricação de máscaras de proteção 3D, que serão destinadas às instituições de ensino e utilizadas como medida preventiva à contaminação do Coronavírus - COVID-19. / Chapa, MATERIAL: Acrílico, DIMENSÃO: 1000x2000x4mm, COR: Diversas, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;165022076;;5491/2020;HANNOVER PLÁSTICOS S/A;4,62615E+12;R$ 81.696,00;192;425,50;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;diversos;1 unidade;425,50;192,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens;"Ventilômetro  / Ventilador Pulmonar, Ventilador eletrônico microprocessado para pacientes neonatais pediátricos e adultos até obesidade mórbida, indicado para o uso em terapia intensiva, com pelo menos os seguintes modos de ventilação: Ventilação por Volume Controlado VCV (Assistido / Controlado, SIMV); Ventilação por Pressão Controlada PCV (Assistido / Controlado, SIMV); Ventilação controlada a pressão, tipo Bipap ou Bi-fásica, que permita ventilação espontânea (válvula expiratória ativa); Ventilação Não Invasiva - NIV; Ventilação em CPAP invasivo e não invasivo, Ventilação em PSV com possibilidade de ajuste da ciclagem da Pressão de Suporte, Parâmetros: FiO2 de 21 a 100%; Volume corrente deve possibilitar ajuste a partir de 10 ml a pelo menos 2000ml; Freqüência respiratória de 5 a 150 rpm; Tempo inspiratório de 0,2 a 5 segundos pelo menos; Ciclagem da pressão de suporte de 5 a 70% do pico de fluxo inspiratório; Pressão inspiratória de 5 a 80 cmH2O. Pressão de suporte de 5 a 70cmH2O pelo menos. Estes valores de pressões não podem ser considerados com a PEEP, ou seja, devem ser considerados individualmente; PEEP de 0 a 50 cmH2O pelo menos; Possuir sensibilidade inspiratória por fluxo e/ou sensibilidade por pressão; Possuir tempo de subida (rise time) ajustável ou controle de tempo inspiratório de subida em todas as modalidades controladas a pressão; Sistema de Monitorização: Tela colorida de no mínimo 12” com acionamento por toque na tela (“touchscreen"") para facilidade de operação e possibilidade de inclinação, botão rotatório para seleção, ajuste e confirmação dos parâmetros. Apresentação de curvas pressão x tempo, fluxo x tempo, volume x tempo e loops pressão x volume (apresentação de pelo menos três curvas simultaneamente em tempo real); O equipamento deve apresentar valores numéricos dos principais parâmetros ventilatórios; O equipamento não poderá monitorar nenhum parâmetro através de sensores proximais ao paciente (no Y), com exceção de pacientes neonatais, onde o equipamento poderá trabalhar com este tipo de sensor. Monitoração de FiO2 (por sensor de oxigênio). Este sensor não pode ser montado no circuito do paciente; Freqüência respiratória Pressão de pico, pressão platô, PEEP e pressão média de vias aéreas. Resistência, complacência, índice de desmame (RSBI), P01 e AutoPEEP, Alarmes Audiovisuais: Alta pressão inspiratória, alto e baixo volume minuto ou alto e baixo volume corrente, Alta freqüência, Apnéia. Falha de alimentação de gás e Falha de energia, Recursos incorporados: Possuir software de mecânica respiratória; Pausa inspiratória manual (Inspiratory Hold) de 7 segundos ou mais; Pausa expiratória manual (Expiratory Hold) de 15 segundos ou mais; Memória dos parâmetros ventilatórios ao desligar o equipamento ou possuir modo Stand-By que mantenha a programação do equipamento; Possuir sistema de autoteste ao ligar o equipamento, com calibrações automáticas e detecção de erros e falhas de funcionamento; O ventilador deverá possuir o software de interface com o usuário no idioma português. Com blender eletrônico e interno ao equipamento; Possuir controles e ajustes com sistema de proteção contra mudanças acidentais de parâmetros, Acessórios: Umidificador aquecido com alarme e/ou controle de temperatura, acompanhado por dois reservatórios para uso em neonatologia e dois reservatórios para uso em adulto/pediátrico; ou acompanhado dois reservatórios de tamanho padrão para uso em pacientes neonatais, pediátricos e adulto; Braço articulado para suporte do circuito de paciente; Carro de transporte com rodízios giratórios, sendo pelo menos 2 com travas; Dois circuitos completos neonatais em silicone, corrugado externamente e liso internamente, autoclavável, com coletores de líquidos condensados, sendo um para o ramo inspiratório e outro para o ramo expiratório; Dois circuitos completos pediátricos em silicone, corrugado externamente e liso internamente, autoclavável, com coletores de líquidos condensados, sendo um para o ramo inspiratório e outro para o ramo expiratório; Dois circuitos completos adultos em silicone, corrugado externamente e liso internamente, autoclavável, com coletores de líquidos condensados, sendo um para o ramo inspiratório e outro para o ramo expiratório; OBS: em casos de circuitos universais para pacientes adultos e pediátricos, disponibilizar dois circuitos completos em silicone, corrugados externamente e liso internamente, autoclavável, com coletores de líquidos condensados, sendo um para o ramo inspiratório e outro para o ramo expiratório; Deve acompanhar filtros expiratórios quando aplicável (2 unidades); Deve acompanhar filtros inspiratórios quando aplicável (2 unidades); Deve acompanhar cassetes quando aplicável (2 unidades); OBS: os filtros e cassetes deverão ser reutilizáveis. Só serão aceitos descartáveis se os fabricantes provarem que não existe a opção reutilizável. Se houver somente a opção descartável, o fabricante deverá entregar pelo menos 50 unidades de cada item (filtros e cassetes). Deve acompanhar válvulas de AR e Oxigênio (1 unidade de cada); Deve acompanhar máscara facial para VNI tamanho adulto (2 unidades) e tamanho pediátrico (2 unidades), Quando o equipamento utilizar sensor de fluxo descartável o fornecedor deverá entregar 05 unidades de sensores por equipamento; Deve acompanhar TODOS os acessórios para o perfeito funcionamento do equipamento. Pressão de alimentação de Ar e Oxigênio de 300 a 550 kPa (3 a 5,5 bar) pelo menos, Um Manual técnico completo contendo diagramas esquemáticos eletrônicos e pneumáticos. Um Manual operacional em português. Garantia de 1 (um) ano para o equipamento contra defeitos de fabricação; Garantia de 1 (um) ano para os acessórios eletrônicos contra defeitos de fabricação; Treinamento técnico para equipe de engenharia clínica; Deverá ser fornecido sem ônus, treinamento a equipe operacional conforme a necessidade da instituição que receberá o equipamento. Deve apresentar documentação comprobatória do registro aprovado na ANVISA. Deve possuir certificação de conformidade com as seguintes normas: NBR IEC 60601-1 Equipamento eletromédico: Prescrições gerais para segurança, IEC 60601-1-2 Prescrições gerais de compatibilidade eletromagnética e EN 794-3 Ventilador Pulmonar: Requisitos específicos para Ventiladores ou equivalente; Deverá apresentar boas práticas de fabricação ou distribuição; Assistência técnica preferencialmente no estado do Paraná, se não houver empresa vencedora deverá realizar gratuitamente o translado dos equipamentos até o local da assistência técnica, UNID. DE MEDIDA: Unitário";165044509;;5616/2020;AAMED Comércio de Equipamentos Eireli - EPP;1,02386E+13;R$ 25.000,00;1;25.000,00;Unidade;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;respirador - ventilador;1 unidade;25000,00;1,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens; MÁSCARAS CIRÚRGICAS DESCARTÁVEIS COM ELÁSTICO / Máscara, Cirúrgica, Descartável, COR: Branca, 100% polipropileno, Atóxico, retenção bacteriológica, CARACTERÍSTICAS ADICIONAIS: Produto de uso único, não estéril, anti-alérgico, elástico, EMBALAGEM: Caixa com 50 unidades, UNID. DE MEDIDA: Unitário;165101626;;5622/2020;Buyerbr Servicos e Comercio Exterio LTDA;2,15334E+13;R$ 348.000,00;120.000;2,90;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;mascara;1 unidade;2,90;120000,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens;COMPONENTES ELÉTRICOS / Disjuntor, Tripolar, Termomagnético, CORRENTE MÁXIMA: 70A, NÚMERO DE POLOS: 3, COMPOSIÇÃO : Caixa moldada com elementos de proteção térmico e magnético fixos, CARACTERÍSTICAS ADICIONAIS: Capacidade de interrupção 3 KA, Conexão para cabos de até 35mm², UNID. DE MEDIDA: Unitário;165240294;;5649/2020;PGE ENGENHARIA ELÉTRICA LTDA;3,02136E+13;R$ 373,76;1;373,76;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;diversos;1 unidade;NA;NA
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens; AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR / Mascara laríngea nº 2,0, Reutilizavel, Tamanho da mascara aproximadamente 58 mm, Com volume de ar no manguito 8,0 ml, Tubo com diâmetro de 9,0 mm e comprimento do tubo 120 mm, A mascara laríngea e um dispositivo orofaringeo tubular que se inicia em um conector padrão de 15 mm e termina em um suporte periférico inflável, Concebido para promover vedação hermética a volta da entrada laríngea, Para lactantes de 10kg a ate per escolares de 20kg, Permite um adequada ventilação pulmonar por via supra glótica, A mascara laríngea, Tem o objetivo de assegura e manter as vias aéreas permeáveis em emergências ou durante procedimentos anestésicos, cirúrgico ou rotina, Com ventilação espontânea e ou controlada, A embalagem individual deve favorecer abertura em técnica asséptica, Que garanta a integridade e esterilidade do produto, Ter impressos em língua portuguesa as seguintes informações: Identificação, Procedência, Data de fabricação, Validade da esterilização, Lote, Registro na anvisa e apresentar código de barras, UNID. DE MEDIDA: Unitário;165094824;;5679/2020;CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE EIRELI;7,62678E+12;R$ 10.200,00;30;340,00;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;diversos;1 unidade;340,00;30,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens; AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR / Mascara laríngea nº 2,5, Reutilizavel, Tamanho da mascara: Aproximadamente 68 mm, Com volume de ar no manguito 11,5 ml, Tubo com diâmetro de 9,0 mm e comprimento do tubo 140 mm, A mascara laríngea e um dispositivo orofaringeo tubular que se inicia em um conector padrão de 15 mm e termina em um suporte periférico inflável, Concebido para promover vedação hermética a volta da entrada laríngea, Para crianças de 20kg a 30kg, Permite um adequada ventilação pulmonar por via supra glotica, A mascara laríngea, Tem o objetivo de assegura e manter as vias aéreas permeáveis em emergências ou durante procedimentos anestésicos, cirúrgico ou rotina, Com ventilação espontânea e ou controlada, A embalagem individual deve favorecer abertura em técnica asséptica, Que garanta a integridade e esterilidade do produto, E ter impressos em língua portuguesa as seguintes informações: Identificação, Procedência, Data de fabricação, Validade da esterilização, Lote, Registro na Anvisa e apresentar código de barras, UNID. DE MEDIDA: Unitário;165094824;;5679/2020;CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE EIRELI;7,62678E+12;R$ 10.200,00;30;340,00;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;diversos;1 unidade;340,00;30,00
23/04/2020;Estadual;---/PR;PR;Saúde;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná;Aquisição de Bens; AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR / Mascara laríngea nº 3,0, Reutilizavel, Tamanho da mascara aproximadamente 77,5 mm, Com volume de ar no manguito 20 ml, Tubo com diâmetro de 10,5 mm e comprimento do tubo 170 mm, A mascara laríngea e um dispositivo orofaringeo tubular que se inicia em um conector padrão de 15 mm e termina em um suporte periférico inflável, Concebido para promover vedação hermética a volta da entrada laríngea, Para crianças e adolescentes de 30kg a 50kg, Permite um adequada ventilação pulmonar por via supra glotica, A mascara laríngea, Tem o objetivo de assegura e manter as vias aéreas permeáveis em emergências ou durante procedimentos anestésicos, cirúrgico ou rotina, Com ventilação espontânea e ou controlada, Embalagem individual deve favorecer abertura em técnica asséptica, Que garanta a integridade e esterilidade do produto e ter impressos em língua portuguesa as seguintes informações: Identificação, Procedência, Data de fabricação, Validade da esterilização, Lote, Registro na Anvisa e apresentar código de barras, UNID. DE MEDIDA: Unitário;165094824;;5679/2020;CIRURGICA SAO FELIPE PRODUTOS PARA SAUDE EIRELI;7,62678E+12;R$ 14.280,00;42;340,00;;http://www.transparencia.pr.gov.br/pte/compras/dispensasInexigibilidade?windowId=9a3;http://www.coronavirus.pr.gov.br/Campanha/Pagina/TRANSPARENCIA-Enfrentamento-ao-Coronavirus;;diversos;1 unidade;340,00;42,00
